§,FranchiseName,FranchiseLocation,BillingStaffName,BillingTimeStamp,ServeStaffName,ServeTimeStamp,ChefStaffName,ChefTimeStamp,CustomerName,CustomerLoyaltyNumber,CustomerEmail,CustomerMobileNumber,SaleDateTime,PaymentType,CreditCardDetails,OrderType,CarPlateNumber,DeliveryRequired,DeliveryStaffName,DeliveryTimeStamp,TotalBillValue,FoodItemsPurchased,TaxAmount,DeliveryFees,DiscountAmount,AppliedOfferName,CouponName
149,EtaBetaPi_15,Atlanta,Joshua Fitzpatrick,42:38.3,Nicole Pittman,18:29.7,Paul King,04:49.6,Hannah Johnson,LOY-8516,oandrade@example.org,001-435-519-3262x994,32:27.0,Credit Card,,Uber Eats,,No,Danielle Luna,,144.93,"Mozzarella Sticks, Coffee, Chicken Sandwich",32.31,3.52,20.21,20% Off,Coupon-734
150,EtaBetaPi_18,Philadelphia,Nicole Pittman,13:38.9,Danielle Luna,08:11.8,Bryan Sanders,48:45.1,Lisa Torres,,hannah01@example.net,001-390-869-9753x40101,40:18.1,Cash,**** **** **** 4926,Drive Through,,No,Ashley Lynch,,322.62,"Chicken Sandwich, Salad",6.63,9.16,14.28,Free Fries with Burger,
151,EtaBetaPi_18,Portland,Michael Johnson,17:54.7,Kelly Perkins,57:32.1,Sean Wilson DDS,49:42.9,Cindy Nichols,,aporter@example.org,001-833-246-2634x242,22:27.8,Credit Card,,Inhouse,,Yes,Ashley Lynch,,169.14,"Coffee, Pasta, Taco",33.06,4.09,2.17,Free Fries with Burger,
152,EtaBetaPi_13,Orlando,Mallory Patrick,33:23.5,Sue Gillespie,25:46.7,Christopher Sanchez,15:07.2,John Bell,LOY-9928,crossangela@example.net,(787)801-4484x1612,58:19.1,Digital Wallet,**** **** **** 1891,Inhouse,397 2617,No,Tammie Murphy,,263.94,"Ice Cream, Coffee, Chicken Nuggets",11.47,6.57,8.66,Free Fries with Burger,Coupon-237
153,EtaBetaPi_12,Orlando,Randy Schmidt,17:13.2,Sue Gillespie,54:16.4,Nathan Hernandez,15:05.2,Cindy Nichols,LOY-1268,jpage@example.net,(973)354-1351,05:12.5,Credit Card,**** **** **** 7122,Uber Eats,P44 9VP,Yes,Donna Smith,,345.87,Coke,49.98,18.33,1.36,,
154,EtaBetaPi_24,Philadelphia,Jessica Maxwell,45:57.6,Jessica Maxwell,02:07.2,Nathan Hernandez,48:34.4,Latoya Ware,LOY-1222,michaeljohnson@example.org,452.460.2990x58015,58:39.3,Digital Wallet,**** **** **** 5448,Uber Eats,MHI 005,Yes,Ellen Morgan,,65.84,"Smoothie, Fries, Burrito",13.43,17.38,16.41,20% Off,
155,EtaBetaPi_29,Atlanta,Seth Pope,20:52.1,Jack Swanson,47:36.4,Jack Swanson,41:00.6,Kayla Peterson,LOY-3713,rmarquez@example.com,001-435-519-3262x994,59:16.9,Digital Wallet,**** **** **** 2293,Uber Eats,436H,Yes,Tammie Murphy,04:34.8,155.33,Mozzarella Sticks,49.71,1.87,24.54,Free Fries with Burger,Coupon-898
156,EtaBetaPi_16,Columbus,Kara Sanchez,41:31.0,Donna Smith,13:43.3,Kara Sanchez,14:37.3,Thomas Esparza,LOY-9180,bwilliams@example.org,001-201-924-4899x817,26:28.9,Cash,,Inhouse,PHA 146,No,Margaret Fisher,,437.15,"Coffee, Veggie Burger, Cheeseburger, Fries",6.49,16.32,26.08,20% Off,
157,EtaBetaPi_06,Philadelphia,Dale Sims,55:38.8,Nicole Pittman,23:45.3,Andrea Vasquez,21:27.1,Laura Zhang,LOY-5779,jeremycox@example.org,272-565-7462,34:43.0,Digital Wallet,,Uber Eats,9DY8153,No,Randy Schmidt,,472.82,Pasta,12.36,4.05,22.13,Free Fries with Burger,
158,EtaBetaPi_06,Charlotte,Cristina Duke,44:18.2,Nicole Chavez,38:11.4,Brittany Smith,00:28.9,Andrew Mitchell,LOY-8722,smithkim@example.net,648-597-6691x03488,34:29.9,Digital Wallet,,Online,,No,Sydney Henderson,00:43.0,176.86,"Smoothie, Coke, Pepsi",40.16,4.14,26.94,20% Off,
159,EtaBetaPi_18,Charlotte,Jessica Maxwell,17:02.5,Andrea Vasquez,51:13.8,Paul King,55:59.4,Debra Harris,LOY-1665,haleybrown@example.org,001-201-924-4899x817,45:00.4,Credit Card,**** **** **** 6291,Inhouse,I65-05I,No,Mr. Steven Hodges,,428.69,"Mozzarella Sticks, Milkshake, Veggie Burger",20.58,18.16,9.17,Family Pack Offer,
160,EtaBetaPi_10,San Diego,Jonathan Smith,04:09.3,Margaret Fisher,37:03.3,Bryan Sanders,13:49.1,Melissa Hale,LOY-7341,smithkim@example.net,504.796.9680,14:01.0,Credit Card,,Online,381 ETL,Yes,Kelly Perkins,,179.38,"Pasta, Chicken Nuggets, Veggie Burger",15.71,11.35,1.35,Buy 1 Get 1 Free,
161,EtaBetaPi_23,Nashville,Elijah Bailey,24:14.7,Brian Obrien,50:51.1,Holly Gordon,07:19.6,Catherine Pham,LOY-9552,crossangela@example.net,4398666176,31:41.2,Credit Card,,Uber Eats,605D,No,Andrea Vasquez,04:48.9,156.29,Pizza,41.49,1.51,21.16,Free Fries with Burger,
162,EtaBetaPi_18,Baltimore,Benjamin Gardner,11:17.8,Tammie Murphy,15:06.0,Nicole Chavez,07:11.1,Lisa Torres,LOY-8939,terri25@example.com,(787)801-4484x1612,01:59.5,Digital Wallet,**** **** **** 5089,Uber Eats,MUL5836,No,Nicole Chavez,40:17.8,217.6,"Mozzarella Sticks, Smoothie, Ice Cream, Coffee",43.13,3.85,20.57,Free Fries with Burger,
163,EtaBetaPi_23,Miami,Seth Pope,57:19.5,Sara Moore MD,06:32.0,Mallory Patrick,17:34.5,Casey Hurst,LOY-3516,barbaraanderson@example.com,+1-406-551-6314x5045,35:51.7,Digital Wallet,,Online,,No,Nathan Hernandez,,164.88,"Coke, Onion Rings",39.6,9.23,29.48,Free Fries with Burger,
164,EtaBetaPi_25,Miami,Ellen Morgan,22:21.6,Nicole Pittman,26:07.4,Elizabeth Bennett,23:03.1,Warren Riley,LOY-8020,pricecarla@example.com,6536885824,41:01.4,Credit Card,,Online,64J 186,Yes,Bryan Sanders,12:43.5,320.6,"Fish Sandwich, Ice Cream",44.78,3.52,25.72,Free Fries with Burger,Coupon-898
165,EtaBetaPi_18,Denver,Bryan Sanders,39:46.1,Nathan Hernandez,15:55.5,Michael Johnson,32:08.7,Allison Leach,LOY-4469,haleybrown@example.org,(355)907-5187x60752,51:59.9,Credit Card,**** **** **** 4475,Uber Eats,867Z5,Yes,Kelly Perkins,15:33.6,496.07,Ice Cream,9.8,12.95,13.53,Family Pack Offer,
166,EtaBetaPi_21,Indianapolis,Seth Pope,19:22.5,Jessica Maxwell,57:15.5,Randy Schmidt,33:14.7,Jason Zimmerman,LOY-3976,lovemiranda@example.net,468-678-4416x2126,33:35.5,Credit Card,,Inhouse,DUS 602,No,Samuel Parker,,458.34,"Ice Cream, Fries, Taco, Burrito",31.86,16.61,24.28,Family Pack Offer,
167,EtaBetaPi_12,Charlotte,Dale Sims,28:15.2,Elijah Bailey,21:41.7,Elijah Bailey,31:10.1,Nicole Poole,,james11@example.org,947.453.1250x70623,14:52.0,Credit Card,**** **** **** 2586,Inhouse,J96 7SZ,No,Sue Gillespie,,201.88,"Chicken Nuggets, Ice Cream, Coke",29.64,12.91,21.14,,
168,EtaBetaPi_28,Charlotte,Bryan Sanders,23:17.8,Jeffery Luna,56:12.1,Benjamin Gardner,01:27.3,Keith Evans,LOY-2492,sally25@example.org,794.524.6680,06:03.4,Digital Wallet,,Online,061-BJW,No,Danielle Luna,43:46.4,156.49,"Chicken Nuggets, Burrito",44.54,14.07,15.02,Free Fries with Burger,Coupon-725
169,EtaBetaPi_05,Atlanta,Kara Sanchez,58:50.1,Deanna Wood,55:28.0,Jeffery Luna,00:37.9,Bryan Davis,,campospaige@example.com,+1-379-727-4829x8364,23:46.7,Cash,,Inhouse,V 913107,No,Cristina Duke,,34.03,"Fries, Ice Cream, Pepsi, Hot Dog",23.21,10.02,17.66,20% Off,Coupon-425
170,EtaBetaPi_09,Chicago,Ellen Morgan,22:15.9,Mallory Patrick,01:08.1,Mr. Steven Hodges,12:55.5,Jodi Harrington,LOY-6203,bsmith@example.com,001-655-566-7824,24:55.8,Credit Card,**** **** **** 5152,Drive Through,HMT 044,Yes,Cristina Duke,23:30.5,185.27,"Burrito, Salad, Onion Rings, Hot Dog",17.48,1.39,4.19,20% Off,
171,EtaBetaPi_18,Dallas,Donna Smith,17:52.3,Mr. Steven Hodges,54:13.9,Kara Sanchez,35:56.8,John Bell,LOY-3049,jacksonsamantha@example.org,668.562.5141x7458,59:51.3,Digital Wallet,**** **** **** 2339,Uber Eats,,Yes,Sue Gillespie,,420.09,"Burrito, Onion Rings",19.34,5.86,22.56,,Coupon-788
172,EtaBetaPi_24,Las Vegas,Mallory Patrick,02:42.3,Elijah Bailey,29:50.3,Joshua Norton,16:20.7,Nicole Poole,LOY-3461,crossangela@example.net,870-343-9201x96978,25:12.4,Credit Card,,Inhouse,960 ILW,Yes,Andrea Vasquez,,108.22,"Salad, Fries, Mozzarella Sticks, Pizza",20.32,7.17,21.82,Family Pack Offer,Coupon-731
173,EtaBetaPi_20,Atlanta,Jonathan Smith,11:01.3,Dale Sims,13:21.6,Nicole Pittman,42:48.1,Kayla Peterson,LOY-7879,wwillis@example.org,505.835.4649x3657,20:43.5,Digital Wallet,,Inhouse,UHM-8747,No,Paul King,,227.75,Pizza,15.73,10.86,9.52,20% Off,
174,EtaBetaPi_07,Miami,Brian Obrien,48:26.4,Bobby Tucker,18:14.8,Benjamin Gardner,19:12.3,Jennifer Sanchez,LOY-6725,icook@example.com,870-343-9201x96978,47:24.8,Cash,**** **** **** 8426,Inhouse,02L 3520,No,Kristin Lester,49:54.1,165.94,"Burrito, Coke, Taco",33,2.34,25.6,Free Fries with Burger,Coupon-240
175,EtaBetaPi_21,Miami,Benjamin Gardner,34:27.2,Ashley Lynch,07:22.4,Tammie Murphy,03:30.6,Jasmine Hill,LOY-4680,briancastro@example.org,(580)214-9514x486,25:46.8,Cash,**** **** **** 1698,Drive Through,,No,Holly Gordon,06:54.0,411.06,"Veggie Burger, Coke",14.54,13.35,5.71,Free Fries with Burger,
176,EtaBetaPi_16,New York,Bobby Tucker,40:14.5,Paul King,39:23.0,Sydney Henderson,12:48.2,Brenda Vance,LOY-7138,zproctor@example.org,001-661-456-0424x426,34:19.0,Credit Card,,Online,,No,Seth Pope,,464.34,"Fish Sandwich, Pepsi",7.04,9.09,0.26,,Coupon-438
177,EtaBetaPi_02,Detroit,Sydney Henderson,06:15.3,Mr. Steven Hodges,26:00.8,Holly Gordon,45:52.4,Dawn Ellis,LOY-6681,ramossara@example.org,(566)936-1415,17:05.2,Cash,**** **** **** 8897,Uber Eats,33-P557,No,Ellen Morgan,26:53.9,256.11,"Pizza, Pasta",40.07,11.92,4.81,Family Pack Offer,Coupon-137
178,EtaBetaPi_HQ,Boston,Bryan Sanders,40:07.7,Danielle Luna,27:15.3,Brittany Smith,41:20.0,Jenna Goodwin,LOY-3028,rebeccahunt@example.org,875.497.1227,32:45.9,Cash,**** **** **** 6447,Drive Through,,No,Deanna Wood,07:59.9,394.78,Veggie Burger,31.06,9.93,8.88,Free Fries with Burger,Coupon-105
179,EtaBetaPi_21,Las Vegas,Kara Sanchez,36:45.5,Kara Sanchez,23:20.8,Seth Pope,19:48.2,Catherine Pham,LOY-7240,jacqueline01@example.net,604-370-1325x78634,12:35.4,Credit Card,,Online,4-20054P,No,Jonathan Smith,,454.84,"Ice Cream, Pizza",31.49,12.98,20.65,Free Fries with Burger,
180,EtaBetaPi_04,Atlanta,Deanna Wood,31:17.4,Margaret Fisher,42:00.7,Danielle Luna,39:28.7,Sarah Wood,LOY-7470,kmcknight@example.net,350.474.8770x101,26:40.3,Cash,,Inhouse,,No,Deanna Wood,,396.72,"Fish Sandwich, Pasta",8.41,14.84,4.9,Buy 1 Get 1 Free,
181,EtaBetaPi_27,Dallas,Joshua Norton,04:42.1,Nicole Chavez,38:30.1,Leah Gonzales,32:13.1,Heather Mcdonald,LOY-2537,daltonmario@example.com,+1-332-333-8483x899,45:33.0,Digital Wallet,,Drive Through,,Yes,Ricardo Kirk,03:26.3,113.31,"Onion Rings, Hot Dog",29.79,9.96,8.04,Family Pack Offer,
182,EtaBetaPi_19,Los Angeles,Ellen Morgan,46:08.0,Danielle Luna,34:00.6,Holly Gordon,00:39.4,Joshua Watson,LOY-6282,bsmith@example.com,+1-671-201-3108x51131,15:09.4,Cash,,Online,,No,Ricardo Kirk,,351.15,Onion Rings,48.98,9.47,15.16,20% Off,Coupon-869
183,EtaBetaPi_HQ,Portland,Joshua Fitzpatrick,57:26.7,Michael Johnson,49:17.2,Destiny Barrett,08:48.4,Dawn Ellis,LOY-7165,efischer@example.com,450-321-4464,10:07.7,Cash,**** **** **** 2830,Inhouse,,Yes,Mallory Patrick,,262.98,"Mozzarella Sticks, Pepsi, Cheeseburger",1.38,9.69,18.94,,
184,EtaBetaPi_09,Philadelphia,Dale Sims,47:16.2,Danielle Luna,57:04.5,Elizabeth Bennett,29:37.5,Kayla Peterson,LOY-3202,smithkim@example.net,001-765-821-6619x708,28:47.9,Digital Wallet,**** **** **** 5209,Drive Through,,No,Benjamin Gardner,49:56.5,168.44,Cheeseburger,23,17.43,22.53,20% Off,Coupon-975
185,EtaBetaPi_16,Nashville,Seth Pope,17:53.5,Donna Smith,16:40.7,Joshua Norton,36:55.1,Jason Meyer,LOY-6072,wblackwell@example.net,647-685-6556x579,52:46.3,Digital Wallet,,Uber Eats,,Yes,Jessica Maxwell,42:47.3,188.3,"Chicken Nuggets, Onion Rings, Salad",16.89,12.21,2.85,,Coupon-626
186,EtaBetaPi_19,Chicago,Samuel Parker,12:43.2,Donna Smith,34:11.1,Bobby Tucker,32:29.0,Matthew Phillips,LOY-8863,daltonmario@example.com,+1-420-296-1302x91453,25:18.4,Cash,**** **** **** 6050,Uber Eats,AMK-0107,Yes,Benjamin Gardner,,289.15,"Fish Sandwich, Pepsi",31.49,18.06,19.57,,
187,EtaBetaPi_22,Philadelphia,Joshua Norton,54:13.8,Nathan Hernandez,01:50.0,Holly Gordon,25:13.9,Taylor Norman,LOY-2343,jonathankelley@example.org,-3971,05:37.7,Credit Card,,Inhouse,,No,Ashley Lynch,,264.81,"Salad, Veggie Burger, Smoothie, Chicken Sandwich",4.73,1.26,22.49,20% Off,
188,EtaBetaPi_11,Charlotte,Destiny Barrett,24:01.7,Randy Schmidt,05:18.7,Nicole Pittman,49:26.6,Robert Gallegos,LOY-9042,greenmichael@example.org,272-565-7462,14:57.7,Credit Card,,Drive Through,,Yes,Michael Johnson,17:57.8,58.4,Cheeseburger,4.16,3.45,24.55,Buy 1 Get 1 Free,
189,EtaBetaPi_12,Dallas,Jessica Maxwell,20:12.1,Sue Gillespie,45:18.6,Benjamin Gardner,50:06.3,Virginia Petersen,LOY-6928,upierce@example.net,(946)697-8501,46:36.5,Credit Card,,Uber Eats,NXZ 212,Yes,Jeffery Luna,21:21.3,180.79,Ice Cream,20.51,8.56,22.34,,Coupon-267
190,EtaBetaPi_15,Las Vegas,Brittany Smith,40:32.5,Paul King,15:35.4,Kara Sanchez,49:01.2,Michael Steele,LOY-5478,sierra39@example.net,350.474.8770x101,39:03.3,Digital Wallet,,Drive Through,,Yes,Nathan Hernandez,,13.32,Fish Sandwich,37.33,14.92,20.98,20% Off,
191,EtaBetaPi_25,Denver,Eric Nelson,14:54.5,Deanna Wood,29:27.3,Kimberly Thompson,31:06.8,Henry Clark,LOY-1888,erikahale@example.com,+1-332-333-8483x899,03:00.1,Digital Wallet,,Drive Through,TES3742,No,Destiny Barrett,06:06.0,443.16,Chicken Sandwich,33.05,6.4,29.94,Buy 1 Get 1 Free,Coupon-578
192,EtaBetaPi_24,Boston,Nicole Pittman,31:07.5,Sean Wilson DDS,41:22.2,Michael Johnson,58:10.8,Sean Griffith,LOY-5871,laura13@example.com,655.284.6908,37:11.5,Credit Card,,Drive Through,,Yes,Cristina Duke,,252.91,"Burrito, Pizza, Smoothie",25.39,12.49,4.06,Buy 1 Get 1 Free,Coupon-596
193,EtaBetaPi_18,Atlanta,Bryan Sanders,50:37.4,Joshua Norton,15:39.7,Sara Moore MD,20:10.1,Robert Young,LOY-6954,rmarquez@example.com,332.478.9568x866,24:27.7,Cash,**** **** **** 5168,Inhouse,8-03454,No,Mr. Steven Hodges,,246.98,"Pasta, Coke",20.11,17.93,29.27,Free Fries with Burger,
194,EtaBetaPi_28,Detroit,Kimberly Thompson,10:03.5,Joshua Norton,05:27.9,Kimberly Thompson,19:25.7,Christine Roberts,LOY-5509,kennethkim@example.org,841-915-5313x3219,44:14.1,Digital Wallet,,Inhouse,539-DTT,Yes,Nathan Hernandez,01:31.5,351.83,Pasta,13.03,8.51,15.51,Family Pack Offer,Coupon-372
195,EtaBetaPi_05,Denver,Kimberly Thompson,52:34.9,Eric Nelson,08:13.4,Bobby Tucker,27:34.1,Mary Jones,LOY-1660,jennifer72@example.net,655.284.6908,18:40.1,Credit Card,**** **** **** 4239,Inhouse,,Yes,Joshua Norton,,209.98,"Fries, Milkshake, Pizza",26.66,13.41,25.23,Buy 1 Get 1 Free,Coupon-127
196,EtaBetaPi_16,Chicago,Sara Moore MD,52:04.8,Andrea Vasquez,08:11.8,Paul King,27:45.5,Terry Townsend,LOY-1323,jeangarcia@example.net,9178539975,36:02.5,Digital Wallet,**** **** **** 7013,Drive Through,,No,Jennifer Oliver,,382.09,"Mozzarella Sticks, Hot Dog, Salad",24.52,19.76,12.44,Family Pack Offer,Coupon-182
197,EtaBetaPi_30,Phoenix,Eric Nelson,36:58.9,Elijah Bailey,21:49.9,Mr. Steven Hodges,19:17.2,Thomas Esparza,LOY-7951,leslie60@example.org,223.220.8427x89515,43:24.4,Cash,,Drive Through,7DW75,No,Sue Gillespie,,347.89,"Onion Rings, Pizza, Hot Dog, Smoothie",16.1,15.12,18.76,Buy 1 Get 1 Free,Coupon-290
198,EtaBetaPi_27,Boston,Ellen Morgan,20:38.8,Lisa Murphy,06:10.7,Dale Sims,33:02.1,Jason Meyer,LOY-2916,murphycharlene@example.com,(973)354-1351,16:25.4,Cash,,Uber Eats,KCZ 692,Yes,Destiny Barrett,,231.77,"Mozzarella Sticks, Fish Sandwich, Coffee",40.85,3.99,26.86,Free Fries with Burger,Coupon-323
199,EtaBetaPi_28,Philadelphia,Paul King,03:48.6,Elizabeth Bennett,43:07.5,Dale Sims,49:17.0,Seth Oliver,LOY-9360,cookanthony@example.org,668.562.5141x7458,10:32.8,Digital Wallet,,Drive Through,KNJ 030,Yes,Sara Moore MD,53:09.6,479.38,"Chicken Nuggets, Chicken Sandwich, Coke",27.25,8.02,27.12,20% Off,
200,EtaBetaPi_13,Los Angeles,Margaret Fisher,44:57.9,Randy Schmidt,29:00.0,Kimberly Thompson,42:38.2,Melanie Calderon,LOY-1594,upierce@example.net,001-536-963-2500x5101,31:43.9,Cash,**** **** **** 1185,Drive Through,,Yes,Elizabeth Bennett,,472.77,"Coke, Taco",37.24,19.69,23,Free Fries with Burger,Coupon-969
